Date,Close
3/15/2019,50.86
3/18/2019,50.91
3/19/2019,51.04
3/20/2019,50.25
3/21/2019,51.01
3/22/2019,50.27
3/25/2019,50.31
3/26/2019,50.48
3/27/2019,50.85
3/28/2019,51.75
3/29/2019,51.31
4/01/2019,51.28
4/02/2019,51.27
4/03/2019,51.59
4/04/2019,50.81
4/05/2019,51.53
4/08/2019,50.96
4/09/2019,51.41
4/10/2019,51.25
4/11/2019,51.59
4/12/2019,51.74
4/15/2019,51.62
4/16/2019,51.66
4/17/2019,50.74
4/18/2019,51
4/22/2019,50.61
4/23/2019,51.19
4/24/2019,51.41
4/25/2019,51.73
4/26/2019,51.77
4/29/2019,51.45
4/30/2019,51.5
5/01/2019,51.67
5/02/2019,53.5
5/03/2019,54.09
5/06/2019,54.06
5/07/2019,52.99
5/08/2019,54.25
5/09/2019,54.18
5/10/2019,54.14
5/13/2019,53.35
5/14/2019,53.51
5/15/2019,53.68
5/16/2019,54.28
5/17/2019,54.87
5/21/2019,54.92
5/22/2019,55.07
5/23/2019,54.39
5/24/2019,54.35
5/27/2019,55.03
5/28/2019,54.68
5/29/2019,53.92
5/30/2019,53.73
5/31/2019,53.74
6/03/2019,52.45
6/04/2019,53.04
6/05/2019,53.85
6/06/2019,54.5
6/07/2019,54.64
6/10/2019,54.78
6/11/2019,54.45
6/12/2019,55.05
6/13/2019,55.16
6/14/2019,55.36
6/17/2019,54.8
6/18/2019,55.16
6/19/2019,54.94
6/20/2019,54.87
6/21/2019,54.59
6/24/2019,54.94
6/25/2019,53.87
6/26/2019,53.84
6/27/2019,53.98
6/28/2019,54.04
7/02/2019,54.91
7/03/2019,55.35
7/04/2019,55.38
7/05/2019,54.9
7/08/2019,54.73
7/09/2019,55.73
7/10/2019,55.61
7/11/2019,56.03
7/12/2019,55.36
7/15/2019,55.75
7/16/2019,55.52
7/17/2019,55.47
7/18/2019,55.64
7/19/2019,55.82
7/22/2019,56.91
7/23/2019,56.82
7/24/2019,57.51
7/25/2019,57.79
7/26/2019,58.02
7/29/2019,57.56
7/30/2019,56.8
7/31/2019,56.29
8/01/2019,56.23
8/02/2019,51.26
8/06/2019,50.27
8/07/2019,50.51
8/08/2019,51.04
8/09/2019,50.78
8/12/2019,50.8
8/13/2019,50.75
8/14/2019,50.05
8/15/2019,50.5
8/16/2019,51.05
8/19/2019,51.59
8/20/2019,51.41
8/21/2019,51.83
8/22/2019,52.01
8/23/2019,51.3
8/26/2019,51
8/27/2019,51.42
8/28/2019,51.25
8/29/2019,51.65
8/30/2019,52.09
9/03/2019,52.79
9/04/2019,53.36
9/05/2019,54.94
9/06/2019,54.75
9/09/2019,54.47
9/10/2019,53.86
9/11/2019,54.33
9/12/2019,54.6
9/13/2019,54.35
9/16/2019,54.13
9/17/2019,54.34
9/18/2019,54.22
9/19/2019,54.6
9/20/2019,54.9
9/23/2019,54.48
9/24/2019,53.82
9/25/2019,54.33
9/26/2019,54.29
9/27/2019,53.72
9/30/2019,54.04
10/01/2019,53.39
10/02/2019,52.74
10/03/2019,53.32
10/04/2019,53.8
10/07/2019,53.54
10/08/2019,53.16
10/09/2019,53.98
10/10/2019,53.62
10/11/2019,53.85
10/15/2019,53.73
10/16/2019,53.89
10/17/2019,53.67
10/18/2019,51.6
10/21/2019,52.25
10/22/2019,51.48
10/23/2019,51.65
10/24/2019,52.11
10/25/2019,52.29
10/28/2019,52.65
10/29/2019,52.64
10/30/2019,53.15
10/31/2019,53.22
11/01/2019,54.07
11/04/2019,54.25
11/05/2019,53.96
11/06/2019,53.95
11/07/2019,54.23
11/08/2019,54.97
11/11/2019,56.27
11/12/2019,56.48
11/13/2019,57.68
11/14/2019,57.52
11/15/2019,57.49
11/18/2019,57.49
11/19/2019,57.77
11/20/2019,57.48
11/21/2019,57.32
11/22/2019,57.19
11/25/2019,58.26
11/26/2019,59
11/27/2019,58.49
11/28/2019,58.29
11/29/2019,57.83
12/02/2019,57.47
12/03/2019,56.89
12/04/2019,56.41
12/05/2019,56.36
12/06/2019,56.58
12/09/2019,56.12
12/10/2019,56.28
12/11/2019,56.48
12/12/2019,56.73
12/13/2019,56.91
12/16/2019,57.62
12/17/2019,57.54
12/18/2019,57.5
12/19/2019,57.28
12/20/2019,58.68
12/23/2019,57.89
12/24/2019,57.44
12/27/2019,57.7
12/30/2019,57.19
